update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
23,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
24,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
25,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
26,mutant-only,0.183206107,262,48,6,0.366412214,262,96,6,0.183206107,262,48,6
27,mutant-only,0.183206107,262,48,7,0.366412214,262,96,8,0.183206107,262,48,8
28,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
29,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
30,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
31,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
32,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
33,mutant-only,0.183206107,262,48,8,0.366412214,262,96,8,0.183206107,262,48,8
34,mutant-only,0.183206107,262,48,8,0.366412214,262,96,9,0.183206107,262,48,9
35,mutant-only,0.183206107,262,48,13,0.366412214,262,96,13,0.183206107,262,48,13
36,mutant-only,0.183206107,262,48,14,0.366412214,262,96,16,0.183206107,262,48,16
37,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
38,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
39,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
40,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
41,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
42,mutant-only,0.183206107,262,48,16,0.366412214,262,96,16,0.183206107,262,48,16
43,mutant-only,0.183206107,262,48,17,0.366412214,262,96,19,0.183206107,262,48,19
44,mutant-only,0.183049217,262.2272727,48,22,0.366412214,262,96,23,0.183206107,262,48,23
45,mutant-only,0.183078271,262.1851852,48,27,0.366412214,262,96,28,0.183206107,262,48,28
46,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
47,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
48,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
49,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
50,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
51,mutant-only,0.183091054,262.1666667,48,30,0.366412214,262,96,30,0.183206107,262,48,30
52,mutant-only,0.183101514,262.1515152,48,34,0.366412214,262,96,34,0.183206107,262,48,34
53,mutant-only,0.183102402,262.15,48,41,0.366412214,262,96,41,0.183206107,262,48,41
54,mutant-only,0.183049217,262.2272727,48,46,0.366412214,262,96,46,0.183206107,262,48,46
55,mutant-only,0.183056038,262.2173913,48,48,0.366412214,262,96,47,0.183206107,262,48,47
56,mutant-only,0.183065226,262.2040816,48,51,0.366412214,262,96,47,0.183206107,262,48,47
57,mutant-only,0.183065226,262.2040816,48,51,0.366412214,262,96,47,0.183206107,262,48,47
58,mutant-only,0.183065226,262.2040816,48,51,0.366412214,262,96,47,0.183206107,262,48,47
59,mutant-only,0.183065226,262.2040816,48,51,0.366412214,262,96,47,0.183206107,262,48,47
60,mutant-only,0.183065226,262.2040816,48,51,0.366412214,262,96,48,0.183206107,262,48,48
61,mutant-only,0.183127839,262.1132075,48,55,0.366412214,262,96,53,0.183206107,262,48,53
62,mutant-only,0.183125449,262.1166667,48,62,0.366412214,262,96,64,0.183206107,262,48,64
63,mutant-only,0.183103154,262.1492537,48,69,0.366412214,262,96,70,0.183206107,262,48,70
64,mutant-only,0.183110304,262.1388889,48,73,0.366412214,262,96,72,0.183206107,262,48,72
65,mutant-only,0.183114136,262.1333333,48,76,0.366412214,262,96,72,0.183206107,262,48,72
66,mutant-only,0.183114136,262.1333333,48,76,0.366412214,262,96,72,0.183206107,262,48,72
67,mutant-only,0.183114136,262.1333333,48,76,0.366412214,262,96,72,0.183206107,262,48,72
68,mutant-only,0.183114136,262.1333333,48,76,0.366412214,262,96,73,0.183206107,262,48,73
69,mutant-only,0.183114136,262.1333333,48,76,0.366412214,262,96,77,0.183206107,262,48,75
70,mutant-only,0.183106151,262.1445783,48,84,0.366325357,262.0632911,96,82,0.183206107,262,48,81
71,mutant-only,0.183099628,262.1538462,48,92,0.366276262,262.0989011,96,94,0.183206107,262,48,90
72,mutant-only,0.183137448,262.0990099,48,102,0.364374946,262.09375,95.5,100,0.183206107,262,48,98
73,mutant-only,0.183112938,262.1346154,48,106,0.364416523,262.0918367,95.51020408,102,0.183175496,262.0444444,48,98
74,mutant-only,0.183114696,262.1320755,48,108,0.364416523,262.0918367,95.51020408,102,0.183175496,262.0444444,48,98
75,mutant-only,0.183114696,262.1320755,48,108,0.364416523,262.0918367,95.51020408,102,0.183175496,262.0444444,48,98
76,mutant-only,0.183114696,262.1320755,48,108,0.364416523,262.0918367,95.51020408,102,0.183175496,262.0444444,48,98
77,mutant-only,0.183114696,262.1320755,48,108,0.36439458,262.1485149,95.52475248,105,0.183176161,262.0434783,48,100
78,mutant-only,0.183116389,262.1296296,48,110,0.364433758,262.1456311,95.53398058,107,0.183206107,262,48,103
79,mutant-only,0.183125908,262.1623932,48.00854701,119,0.362939396,262.1842105,95.15789474,119,0.183206107,262,48,110
80,mutant-only,0.18312058,262.1666667,48.00793651,128,0.361803796,262.184,94.856,130,0.182839415,262.0086207,47.90517241,122
81,mutant-only,0.183131991,262.1470588,48.00735294,138,0.362048182,262.1742424,94.91666667,136,0.183153572,262.0322581,47.99193548,130
82,mutant-only,0.18311508,262.1702128,48.0070922,142,0.362080994,262.1729323,94.92481203,137,0.183183889,262.0322581,48,130
83,mutant-only,0.183121224,262.1608392,48.00699301,144,0.362080994,262.1729323,94.92481203,137,0.183183889,262.0322581,48,130
