update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
235,competion,0.356982447,132.3644647,47.01252847,900,0.327058395,173.1536697,53.84174312,899,0.352194632,135.352,46.99085714,900
236,competion,0.356640445,132.668942,47.01023891,900,0.326514998,173.983871,53.98963134,900,0.352000231,135.4840183,46.98858447,900
237,competion,0.356763806,132.5988636,47.02159091,900,0.326084496,173.5797933,53.74397245,899,0.351236964,136.0785877,46.98405467,900
238,competion,0.356698634,132.9079545,47.02954545,900,0.324985603,174.233945,53.68922018,900,0.351906406,135.7232346,46.98974943,900
239,competion,0.356911221,132.7832009,47.02724177,900,0.325518036,173.279496,53.50171821,900,0.352038397,135.5074116,46.95096921,900
240,competion,0.357417935,132.4163823,47.02161547,900,0.324258167,173.4174312,53.23509174,900,0.351104894,136.4543379,46.96689498,900
241,competion,0.357125325,132.7076223,47.03185438,900,0.32396274,173.5240826,53.18348624,900,0.351207605,136.3924485,46.96224256,900
242,competion,0.357261288,132.6598407,47.03981797,900,0.3246162,173.2914286,53.27314286,900,0.351636064,135.9805936,46.95890411,899
243,competion,0.357378676,132.2931818,47.0375,900,0.32392895,173.3033067,53.09350057,900,0.352208965,135.6438356,46.96461187,900
244,competion,0.35734166,132.3367347,47.03061224,900,0.325092536,172.7559863,53.19156214,900,0.352607338,135.3382857,46.96228571,900
245,competion,0.357064578,132.530543,47.0361991,900,0.3248378,173.264,53.31885714,900,0.352803422,135.2025172,46.96224256,900
246,competion,0.356855806,132.6262741,47.03510759,900,0.326104887,173.163803,53.59793814,900,0.353158213,135.0114679,46.97133028,900
247,competion,0.356721882,132.806342,47.0385051,900,0.32563472,173.209622,53.49255441,900,0.353139439,135.9389401,46.96889401,900
248,competion,0.356689988,132.7886364,47.03522727,900,0.324025322,173.7087156,53.16857798,900,0.353203235,136.3172414,46.96551724,900
249,competion,0.357033254,132.4613636,47.02954545,900,0.323455876,173.5663206,52.97001153,900,0.35340498,136.1572905,46.96326062,900
250,competion,0.357104845,132.4197952,47.02844141,900,0.324654722,172.8168203,53.00345622,900,0.3544725,135.4531963,46.9760274,900
251,competion,0.357367041,132.2118451,47.03416856,900,0.325023126,172.9072165,53.13172967,900,0.35443529,135.3945268,46.97035348,900
252,competion,0.357190577,132.3432155,47.03192702,900,0.32480772,172.4153318,52.90503432,900,0.354894341,134.5546697,46.96810934,900
253,competion,0.356958345,132.4505119,47.0261661,900,0.325511838,171.3988571,52.82171429,900,0.354970418,134.5159453,46.96697039,900
254,competion,0.356815135,132.5861678,47.03061224,900,0.325730836,171.32,52.75542857,900,0.354948801,134.5358362,46.96928328,900
255,competion,0.356774848,132.5816327,47.03968254,900,0.32639126,170.7308133,52.81786942,900,0.355215665,134.094533,46.9738041,900
256,competion,0.356686615,132.6295455,47.04204545,900,0.327469991,170.4016018,52.97139588,900,0.355435558,133.9259681,46.97266515,900
257,competion,0.356913877,132.5005701,47.04675029,900,0.32761945,170.2405498,52.86827033,900,0.355189697,134.1101022,46.97729852,900
258,competion,0.357332857,132.2072893,47.03872437,900,0.328337612,170.336,53.07885714,900,0.355357382,134.0045403,46.97275823,900
259,competion,0.357090141,132.4396355,47.04555809,900,0.329079391,169.8926941,53.12328767,900,0.355554549,133.8911565,46.97959184,900
