Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
SEP VANMARCKE,BELKIN PRO CYCLING,87h 31' 13'',+ 03h 34' 33'',2013,3404,21,315073,12873
MAARTEN WYNANTS,BELKIN PRO CYCLING,87h 33' 46'',+ 03h 37' 06'',2013,3404,21,315226,13026
MURILO ANTONIO FISCHER,FDJ.FR,87h 34' 28'',+ 03h 37' 48'',2013,3404,21,315268,13068
KÉVIN REZA,TEAM EUROPCAR,87h 35' 11'',+ 03h 38' 31'',2013,3404,21,315311,13111
IAN STANNARD,SKY PROCYCLING,87h 35' 29'',+ 03h 38' 49'',2013,3404,21,315329,13129
SERGIO MIGUEL MOREIRA PAULINHO,TEAM SAXO-TINKOFF,87h 35' 38'',+ 03h 38' 58'',2013,3404,21,315338,13138
DAVIDE CIMOLAI,LAMPRE - MERIDA,87h 37' 11'',+ 03h 40' 31'',2013,3404,21,315431,13231
KOEN DE KORT,TEAM ARGOS-SHIMANO,87h 37' 35'',+ 03h 40' 55'',2013,3404,21,315455,13255
RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,87h 39' 55'',+ 03h 43' 15'',2013,3404,21,315595,13395
GERAINT THOMAS,SKY PROCYCLING,87h 40' 14'',+ 03h 43' 34'',2013,3404,21,315614,13414
ALIAKSANDR KUCHYNSKI,KATUSHA TEAM,87h 41' 42'',+ 03h 45' 02'',2013,3404,21,315702,13502
MATTEO TRENTIN,OMEGA PHARMA-QUICK STEP,87h 42' 10'',+ 03h 45' 30'',2013,3404,21,315730,13530
SAMUEL DUMOULIN,AG2R LA MONDIALE,87h 43' 51'',+ 03h 47' 11'',2013,3404,21,315831,13631
BOY VAN POPPEL,VACANSOLEIL-DCM,87h 44' 55'',+ 03h 48' 15'',2013,3404,21,315895,13695
ROY CURVERS,TEAM ARGOS-SHIMANO,87h 45' 10'',+ 03h 48' 30'',2013,3404,21,315910,13710
JOHANNES FRÖHLINGER,TEAM ARGOS-SHIMANO,87h 45' 42'',+ 03h 49' 02'',2013,3404,21,315942,13742
ALEXANDER KRISTOFF,KATUSHA TEAM,87h 46' 30'',+ 03h 49' 50'',2013,3404,21,315990,13790
MARK CAVENDISH,OMEGA PHARMA-QUICK STEP,87h 48' 44'',+ 03h 52' 04'',2013,3404,21,316124,13924
NIKI TERPSTRA,OMEGA PHARMA-QUICK STEP,87h 48' 45'',+ 03h 52' 05'',2013,3404,21,316125,13925
THOMAS LEEZER,BELKIN PRO CYCLING,87h 50' 35'',+ 03h 53' 55'',2013,3404,21,316235,14035
JONATHAN HIVERT,SOJASUN,87h 53' 49'',+ 03h 57' 09'',2013,3404,21,316429,14229
MATTHEW HARLEY GOSS,ORICA GREENEDGE,87h 54' 04'',+ 03h 57' 24'',2013,3404,21,316444,14244
GERT STEEGMANS,OMEGA PHARMA-QUICK STEP,87h 55' 54'',+ 03h 59' 14'',2013,3404,21,316554,14354
BRETT DANIEL LANCASTER,ORICA GREENEDGE,87h 56' 59'',+ 04h 00' 19'',2013,3404,21,316619,14419
BRIAN VANDBORG,CANNONDALE,87h 57' 01'',+ 04h 00' 21'',2013,3404,21,316621,14421
JÉRÔME COUSIN,TEAM EUROPCAR,87h 57' 50'',+ 04h 01' 10'',2013,3404,21,316670,14470
ROBERTO FERRARI,LAMPRE - MERIDA,87h 58' 49'',+ 04h 02' 09'',2013,3404,21,316729,14529
YOHANN GENE,TEAM EUROPCAR,87h 59' 46'',+ 04h 03' 06'',2013,3404,21,316786,14586
JÉRÔME PINEAU,OMEGA PHARMA-QUICK STEP,87h 59' 51'',+ 04h 03' 11'',2013,3404,21,316791,14591
JURGEN ROELANDTS,LOTTO-BELISOL,87h 59' 58'',+ 04h 03' 18'',2013,3404,21,316798,14598
STUART O'GRADY,ORICA GREENEDGE,88h 00' 07'',+ 04h 03' 27'',2013,3404,21,316807,14607
GREGORY HENDERSON,LOTTO-BELISOL,88h 01' 06'',+ 04h 04' 26'',2013,3404,21,316866,14666
FREDERIK WILLEMS,LOTTO-BELISOL,88h 01' 58'',+ 04h 05' 18'',2013,3404,21,316918,14718
ALBERT TIMMER,TEAM ARGOS-SHIMANO,88h 03' 59'',+ 04h 07' 19'',2013,3404,21,317039,14839
JUAN JOSÉ LOBATO DEL VALLE,EUSKALTEL - EUSKADI,88h 04' 39'',+ 04h 07' 59'',2013,3404,21,317079,14879
MARCEL KITTEL,TEAM ARGOS-SHIMANO,88h 06' 48'',+ 04h 10' 08'',2013,3404,21,317208,15008
DMITRIY MURAVYEV,ASTANA PRO TEAM,88h 18' 26'',+ 04h 21' 46'',2013,3404,21,317906,15706
ASSAN BAZAYEV,ASTANA PRO TEAM,88h 21' 32'',+ 04h 24' 52'',2013,3404,21,318092,15892
SVEIN TUFT,ORICA GREENEDGE,88h 24' 35'',+ 04h 27' 55'',2013,3404,21,318275,16075
VINCENZO NIBALI,ASTANA PRO TEAM,89h 59' 06'',-,2014,3659,21,323946,0
JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,90h 06' 43'',+ 00h 07' 37'',2014,3659,21,324403,457
THIBAUT PINOT,FDJ.FR,90h 07' 21'',+ 00h 08' 15'',2014,3659,21,324441,495
ALEJANDRO VALVERDE,MOVISTAR TEAM,90h 08' 46'',+ 00h 09' 40'',2014,3659,21,324526,580
TEJAY VAN GARDEREN,BMC RACING TEAM,90h 10' 30'',+ 00h 11' 24'',2014,3659,21,324630,684
ROMAIN BARDET,AG2R LA MONDIALE,90h 10' 32'',+ 00h 11' 26'',2014,3659,21,324632,686
LEOPOLD KONIG,TEAM NETAPP-ENDURA,90h 13' 38'',+ 00h 14' 32'',2014,3659,21,324818,872
HAIMAR ZUBELDIA,TREK FACTORY RACING,90h 17' 03'',+ 00h 17' 57'',2014,3659,21,325023,1077
LAURENS TEN DAM,BELKIN PRO CYCLING,90h 17' 17'',+ 00h 18' 11'',2014,3659,21,325037,1091
BAUKE MOLLEMA,BELKIN PRO CYCLING,90h 20' 21'',+ 00h 21' 15'',2014,3659,21,325221,1275
PIERRE ROLLAND,TEAM EUROPCAR,90h 22' 13'',+ 00h 23' 07'',2014,3659,21,325333,1387
FRANK SCHLECK,TREK FACTORY RACING,90h 24' 54'',+ 00h 25' 48'',2014,3659,21,325494,1548
JURGEN VAN DEN BROECK,LOTTO-BELISOL,90h 33' 07'',+ 00h 34' 01'',2014,3659,21,325987,2041
YURY TROFIMOV,TEAM KATUSHA,90h 35' 47'',+ 00h 36' 41'',2014,3659,21,326147,2201
STEVEN KRUIJSWIJK,BELKIN PRO CYCLING,90h 37' 21'',+ 00h 38' 15'',2014,3659,21,326241,2295
BRICE FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,90h 43' 05'',+ 00h 43' 59'',2014,3659,21,326585,2639
CHRISTOPHER HORNER,LAMPRE - MERIDA,90h 43' 37'',+ 00h 44' 31'',2014,3659,21,326617,2671
MIKEL NIEVE ITURRALDE,TEAM SKY,90h 45' 37'',+ 00h 46' 31'',2014,3659,21,326737,2791
JOHN GADRET,MOVISTAR TEAM,90h 46' 36'',+ 00h 47' 30'',2014,3659,21,326796,2850
TANEL KANGERT,ASTANA PRO TEAM,90h 51' 17'',+ 00h 52' 11'',2014,3659,21,327077,3131
BEN GASTAUER,AG2R LA MONDIALE,90h 57' 06'',+ 00h 58' 00'',2014,3659,21,327426,3480
GERAINT THOMAS,TEAM SKY,90h 58' 20'',+ 00h 59' 14'',2014,3659,21,327500,3554
RICHIE PORTE,TEAM SKY,91h 00' 14'',+ 01h 01' 08'',2014,3659,21,327614,3668
JAN BAKELANTS,OMEGA PHARMA-QUICK STEP,91h 05' 34'',+ 01h 06' 28'',2014,3659,21,327934,3988
CYRIL GAUTIER,TEAM EUROPCAR,91h 07' 53'',+ 01h 08' 47'',2014,3659,21,328073,4127
MICHAEL ROGERS,TINKOFF-SAXO,91h 16' 59'',+ 01h 17' 53'',2014,3659,21,328619,4673
PETER VELITS,BMC RACING TEAM,91h 18' 44'',+ 01h 19' 38'',2014,3659,21,328724,4778
MICHAL KWIATKOWSKI,OMEGA PHARMA-QUICK STEP,91h 21' 01'',+ 01h 21' 55'',2014,3659,21,328861,4915
TONY GALLOPIN,LOTTO-BELISOL,91h 28' 30'',+ 01h 29' 24'',2014,3659,21,329310,5364
ARNOLD JEANNESSON,FDJ.FR,91h 32' 33'',+ 01h 33' 27'',2014,3659,21,329553,5607
LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",91h 35' 58'',+ 01h 36' 52'',2014,3659,21,329758,5812
MARCEL WYSS,IAM CYCLING,91h 37' 33'',+ 01h 38' 27'',2014,3659,21,329853,5907
TOM DUMOULIN,TEAM GIANT-SHIMANO,91h 47' 06'',+ 01h 48' 00'',2014,3659,21,330426,6480
SYLVAIN CHAVANEL,IAM CYCLING,91h 47' 19'',+ 01h 48' 13'',2014,3659,21,330439,6493
PETER STETINA,BMC RACING TEAM,91h 51' 42'',+ 01h 52' 36'',2014,3659,21,330702,6756
JAKOB FUGLSANG,ASTANA PRO TEAM,91h 53' 56'',+ 01h 54' 50'',2014,3659,21,330836,6890
GIOVANNI VISCONTI,MOVISTAR TEAM,91h 55' 34'',+ 01h 56' 28'',2014,3659,21,330934,6988
GREG VAN AVERMAET,BMC RACING TEAM,91h 55' 40'',+ 01h 56' 34'',2014,3659,21,330940,6994
NICOLAS ROCHE,TINKOFF-SAXO,91h 57' 51'',+ 01h 58' 45'',2014,3659,21,331071,7125
BRAM TANKINK,BELKIN PRO CYCLING,91h 58' 08'',+ 01h 59' 02'',2014,3659,21,331088,7142
ION IZAGIRRE INSAUSTI,MOVISTAR TEAM,91h 59' 56'',+ 02h 00' 50'',2014,3659,21,331196,7250
THOMAS VOECKLER,TEAM EUROPCAR,92h 07' 44'',+ 02h 08' 38'',2014,3659,21,331664,7718
MICHAEL SCHÄR,BMC RACING TEAM,92h 08' 49'',+ 02h 09' 43'',2014,3659,21,331729,7783
RAFAL MAJKA,TINKOFF-SAXO,92h 16' 59'',+ 02h 17' 53'',2014,3659,21,332219,8273
AMAEL MOINARD,BMC RACING TEAM,92h 18' 19'',+ 02h 19' 13'',2014,3659,21,332299,8353
KRISTIJAN ÐURASEK,LAMPRE - MERIDA,92h 20' 24'',+ 02h 21' 18'',2014,3659,21,332424,8478
TONY MARTIN,OMEGA PHARMA-QUICK STEP,92h 24' 41'',+ 02h 25' 35'',2014,3659,21,332681,8735
JOSÉ SERPA,LAMPRE - MERIDA,92h 28' 12'',+ 02h 29' 06'',2014,3659,21,332892,8946
MICHELE SCARPONI,ASTANA PRO TEAM,92h 30' 46'',+ 02h 31' 40'',2014,3659,21,333046,9100
PAUL VOSS,TEAM NETAPP-ENDURA,92h 31' 54'',+ 02h 32' 48'',2014,3659,21,333114,9168
RUDY MOLARD,"COFIDIS, SOLUTIONS CREDITS",92h 33' 28'',+ 02h 34' 22'',2014,3659,21,333208,9262
ALESSANDRO DE MARCHI,CANNONDALE,92h 34' 00'',+ 02h 34' 54'',2014,3659,21,333240,9294
BENJAMIN KING,GARMIN - SHARP,92h 41' 05'',+ 02h 41' 59'',2014,3659,21,333665,9719
JOAQUIM RODRIGUEZ,TEAM KATUSHA,92h 44' 23'',+ 02h 45' 17'',2014,3659,21,333863,9917
MICHAL GOLAS,OMEGA PHARMA-QUICK STEP,92h 48' 09'',+ 02h 49' 03'',2014,3659,21,334089,10143
TOM-JELTE SLAGTER,GARMIN - SHARP,92h 48' 26'',+ 02h 49' 20'',2014,3659,21,334106,10160
JÉRÉMY ROY,FDJ.FR,92h 48' 34'',+ 02h 49' 28'',2014,3659,21,334114,10168
JÉRÔME PINEAU,IAM CYCLING,92h 50' 52'',+ 02h 51' 46'',2014,3659,21,334252,10306
MIKAEL CHEREL,AG2R LA MONDIALE,92h 51' 06'',+ 02h 52' 00'',2014,3659,21,334266,10320
PETER SAGAN,CANNONDALE,92h 51' 58'',+ 02h 52' 52'',2014,3659,21,334318,10372
JESUS HERRADA,MOVISTAR TEAM,92h 52' 24'',+ 02h 53' 18'',2014,3659,21,334344,10398
FLORIAN GUILLOU,BRETAGNE - SECHE ENVIRONNEMENT,92h 52' 26'',+ 02h 53' 20'',2014,3659,21,334346,10400
MARKEL IRIZAR ARRANBURU,TREK FACTORY RACING,92h 52' 50'',+ 02h 53' 44'',2014,3659,21,334370,10424
ADAM JAMES HANSEN,LOTTO-BELISOL,92h 53' 24'',+ 02h 54' 18'',2014,3659,21,334404,10458
YUKIYA ARASHIRO,TEAM EUROPCAR,92h 54' 33'',+ 02h 55' 27'',2014,3659,21,334473,10527
MATTEO MONTAGUTI,AG2R LA MONDIALE,92h 54' 53'',+ 02h 55' 47'',2014,3659,21,334493,10547
JENS KEUKELEIRE,ORICA GREENEDGE,92h 55' 18'',+ 02h 56' 12'',2014,3659,21,334518,10572
BARTOSZ HUZARSKI,TEAM NETAPP-ENDURA,92h 57' 06'',+ 02h 58' 00'',2014,3659,21,334626,10680
DANIEL OSS,BMC RACING TEAM,92h 57' 47'',+ 02h 58' 41'',2014,3659,21,334667,10721
MICHAEL ALBASINI,ORICA GREENEDGE,93h 04' 57'',+ 03h 05' 51'',2014,3659,21,335097,11151
JAN BARTA,TEAM NETAPP-ENDURA,93h 06' 24'',+ 03h 07' 18'',2014,3659,21,335184,11238
TIAGO MACHADO,TEAM NETAPP-ENDURA,93h 07' 09'',+ 03h 08' 03'',2014,3659,21,335229,11283
KÉVIN REZA,TEAM EUROPCAR,93h 07' 18'',+ 03h 08' 12'',2014,3659,21,335238,11292
JOHAN VAN SUMMEREN,GARMIN - SHARP,93h 07' 46'',+ 03h 08' 40'',2014,3659,21,335266,11320
MARTIN ELMIGER,IAM CYCLING,93h 11' 16'',+ 03h 12' 10'',2014,3659,21,335476,11530
MATTHIEU LADAGNOUS,FDJ.FR,93h 13' 47'',+ 03h 14' 41'',2014,3659,21,335627,11681
NICOLAS EDET,"COFIDIS, SOLUTIONS CREDITS",93h 18' 40'',+ 03h 19' 34'',2014,3659,21,335920,11974
ANTHONY DELAPLACE,BRETAGNE - SECHE ENVIRONNEMENT,93h 19' 54'',+ 03h 20' 48'',2014,3659,21,335994,12048
LIEUWE WESTRA,ASTANA PRO TEAM,93h 20' 10'',+ 03h 21' 04'',2014,3659,21,336010,12064
MARCO MARCATO,CANNONDALE,93h 20' 22'',+ 03h 21' 16'',2014,3659,21,336022,12076
IMANOL ERVITI,MOVISTAR TEAM,93h 21' 54'',+ 03h 22' 48'',2014,3659,21,336114,12168
LARS BAK YTTING,LOTTO-BELISOL,93h 22' 47'',+ 03h 23' 41'',2014,3659,21,336167,12221
PERRIG QUEMENEUR,TEAM EUROPCAR,93h 24' 52'',+ 03h 25' 46'',2014,3659,21,336292,12346
BLEL KADRI,AG2R LA MONDIALE,93h 25' 29'',+ 03h 26' 23'',2014,3659,21,336329,12383
SÉBASTIEN REICHENBACH,IAM CYCLING,93h 26' 58'',+ 03h 27' 52'',2014,3659,21,336418,12472
VASILI KIRYIENKA,TEAM SKY,93h 29' 29'',+ 03h 30' 23'',2014,3659,21,336569,12623
NELSON OLIVEIRA,LAMPRE - MERIDA,93h 29' 42'',+ 03h 30' 36'',2014,3659,21,336582,12636
REIN TAARAMÄE,"COFIDIS, SOLUTIONS CREDITS",93h 34' 07'',+ 03h 35' 01'',2014,3659,21,336847,12901
SERGIO MIGUEL MOREIRA PAULINHO,TINKOFF-SAXO,93h 35' 39'',+ 03h 36' 33'',2014,3659,21,336939,12993
SAMUEL DUMOULIN,AG2R LA MONDIALE,93h 37' 10'',+ 03h 38' 04'',2014,3659,21,337030,13084
RUBEN PLAZA MOLINA,MOVISTAR TEAM,93h 37' 33'',+ 03h 38' 27'',2014,3659,21,337053,13107
KOEN DE KORT,TEAM GIANT-SHIMANO,93h 37' 58'',+ 03h 38' 52'',2014,3659,21,337078,13132
MATTEO TRENTIN,OMEGA PHARMA-QUICK STEP,93h 38' 02'',+ 03h 38' 56'',2014,3659,21,337082,13136
NIKI TERPSTRA,OMEGA PHARMA-QUICK STEP,93h 38' 10'',+ 03h 39' 04'',2014,3659,21,337090,13144
ANDREY GRIVKO,ASTANA PRO TEAM,93h 38' 34'',+ 03h 39' 28'',2014,3659,21,337114,13168
DANIELE BENNATI,TINKOFF-SAXO,93h 39' 52'',+ 03h 40' 46'',2014,3659,21,337192,13246
LARS BOOM,BELKIN PRO CYCLING,93h 40' 30'',+ 03h 41' 24'',2014,3659,21,337230,13284
MATTHEW BUSCHE,TREK FACTORY RACING,93h 41' 04'',+ 03h 41' 58'',2014,3659,21,337264,13318
SÉBASTIEN MINARD,AG2R LA MONDIALE,93h 41' 29'',+ 03h 42' 23'',2014,3659,21,337289,13343
GATIS SMUKULIS,TEAM KATUSHA,93h 42' 31'',+ 03h 43' 25'',2014,3659,21,337351,13405
GREGORY RAST,TREK FACTORY RACING,93h 42' 43'',+ 03h 43' 37'',2014,3659,21,337363,13417
CEDRIC PINEAU,FDJ.FR,93h 43' 28'',+ 03h 44' 22'',2014,3659,21,337408,13462
FLORIAN VACHON,BRETAGNE - SECHE ENVIRONNEMENT,93h 43' 46'',+ 03h 44' 40'',2014,3659,21,337426,13480
BRYAN COQUARD,TEAM EUROPCAR,93h 43' 51'',+ 03h 44' 45'',2014,3659,21,337431,13485
DAVID LOPEZ GARCIA,TEAM SKY,93h 44' 19'',+ 03h 45' 13'',2014,3659,21,337459,13513
SEP VANMARCKE,BELKIN PRO CYCLING,93h 45' 00'',+ 03h 45' 54'',2014,3659,21,337500,13554
ALEXANDRE PICHOT,TEAM EUROPCAR,93h 45' 41'',+ 03h 46' 35'',2014,3659,21,337541,13595
JENS VOIGT,TREK FACTORY RACING,93h 45' 43'',+ 03h 46' 37'',2014,3659,21,337543,13597
JULIEN SIMON,"COFIDIS, SOLUTIONS CREDITS",93h 46' 02'',+ 03h 46' 56'',2014,3659,21,337562,13616
CYRIL LEMOINE,"COFIDIS, SOLUTIONS CREDITS",93h 46' 22'',+ 03h 47' 16'',2014,3659,21,337582,13636
JURGEN ROELANDTS,LOTTO-BELISOL,93h 51' 45'',+ 03h 52' 39'',2014,3659,21,337905,13959
MACIEJ BODNAR,CANNONDALE,93h 51' 58'',+ 03h 52' 52'',2014,3659,21,337918,13972
SIMON CLARKE,ORICA GREENEDGE,93h 54' 44'',+ 03h 55' 38'',2014,3659,21,338084,14138
BENAT INTXAUSTI ELORRIAGA,MOVISTAR TEAM,93h 54' 59'',+ 03h 55' 53'',2014,3659,21,338099,14153
JEAN-MARC BIDEAU,BRETAGNE - SECHE ENVIRONNEMENT,93h 57' 14'',+ 03h 58' 08'',2014,3659,21,338234,14288
ROY CURVERS,TEAM GIANT-SHIMANO,93h 57' 29'',+ 03h 58' 23'',2014,3659,21,338249,14303
MAARTEN WYNANTS,BELKIN PRO CYCLING,94h 00' 15'',+ 04h 01' 09'',2014,3659,21,338415,14469
FABIO SABATINI,CANNONDALE,94h 00' 27'',+ 04h 01' 21'',2014,3659,21,338427,14481
MATTEO TOSATTO,TINKOFF-SAXO,94h 00' 59'',+ 04h 01' 53'',2014,3659,21,338459,14513
CHRISTOPHE RIBLON,AG2R LA MONDIALE,94h 03' 06'',+ 04h 04' 00'',2014,3659,21,338586,14640
CHRISTIAN MEIER,ORICA GREENEDGE,94h 04' 19'',+ 04h 05' 13'',2014,3659,21,338659,14713
LUKE DURBRIDGE,ORICA GREENEDGE,94h 05' 05'',+ 04h 05' 59'',2014,3659,21,338705,14759
JOHN DEGENKOLB,TEAM GIANT-SHIMANO,94h 05' 48'',+ 04h 06' 42'',2014,3659,21,338748,14802
JOSÉ PIMENTA COSTA MENDES,TEAM NETAPP-ENDURA,94h 06' 40'',+ 04h 07' 34'',2014,3659,21,338800,14854
ALEXANDER KRISTOFF,TEAM KATUSHA,94h 10' 52'',+ 04h 11' 46'',2014,3659,21,339052,15106
BERNHARD EISEL,TEAM SKY,94h 12' 27'',+ 04h 13' 21'',2014,3659,21,339147,15201
ALEX HOWES,GARMIN - SHARP,94h 17' 49'',+ 04h 18' 43'',2014,3659,21,339469,15523
YOHANN GENE,TEAM EUROPCAR,94h 18' 17'',+ 04h 19' 11'',2014,3659,21,339497,15551
MAXIM IGLINSKIY,ASTANA PRO TEAM,94h 21' 13'',+ 04h 22' 07'',2014,3659,21,339673,15727
DMITRIY GRUZDEV,ASTANA PRO TEAM,94h 21' 39'',+ 04h 22' 33'',2014,3659,21,339699,15753
SVEIN TUFT,ORICA GREENEDGE,94h 21' 58'',+ 04h 22' 52'',2014,3659,21,339718,15772
ARNAUD GERARD,BRETAGNE - SECHE ENVIRONNEMENT,94h 23' 21'',+ 04h 24' 15'',2014,3659,21,339801,15855
THOMAS LEEZER,BELKIN PRO CYCLING,94h 23' 27'',+ 04h 24' 21'',2014,3659,21,339807,15861
MICHAEL MØRKØV,TINKOFF-SAXO,94h 25' 35'',+ 04h 26' 29'',2014,3659,21,339935,15989
KRISTIJAN KOREN,CANNONDALE,94h 28' 20'',+ 04h 29' 14'',2014,3659,21,340100,16154
LUCA PAOLINI,TEAM KATUSHA,94h 28' 49'',+ 04h 29' 43'',2014,3659,21,340129,16183
JACK BAUER,GARMIN - SHARP,94h 29' 03'',+ 04h 29' 57'',2014,3659,21,340143,16197
ARMINDO FONSECA,BRETAGNE - SECHE ENVIRONNEMENT,94h 29' 58'',+ 04h 30' 52'',2014,3659,21,340198,16252
ROGER KLUGE,IAM CYCLING,94h 32' 51'',+ 04h 33' 45'',2014,3659,21,340371,16425
SEBASTIAN LANGEVELD,GARMIN - SHARP,94h 33' 35'',+ 04h 34' 29'',2014,3659,21,340415,16469
RAMUNAS NAVARDAUSKAS,GARMIN - SHARP,94h 36' 48'',+ 04h 37' 42'',2014,3659,21,340608,16662
MARK RENSHAW,OMEGA PHARMA-QUICK STEP,94h 38' 09'',+ 04h 39' 03'',2014,3659,21,340689,16743
MICKAEL DELAGE,FDJ.FR,94h 38' 46'',+ 04h 39' 40'',2014,3659,21,340726,16780
ANDREAS SCHILLINGER,TEAM NETAPP-ENDURA,94h 39' 12'',+ 04h 40' 06'',2014,3659,21,340752,16806
MARCEL SIEBERG,LOTTO-BELISOL,94h 40' 27'',+ 04h 41' 21'',2014,3659,21,340827,16881
ALBERT TIMMER,TEAM GIANT-SHIMANO,94h 41' 34'',+ 04h 42' 28'',2014,3659,21,340894,16948
ALESSANDRO VANOTTI,ASTANA PRO TEAM,94h 41' 54'',+ 04h 42' 48'',2014,3659,21,340914,16968
ALESSANDRO PETACCHI,OMEGA PHARMA-QUICK STEP,94h 43' 53'',+ 04h 44' 47'',2014,3659,21,341033,17087
ANDRÉ GREIPEL,LOTTO-BELISOL,94h 44' 00'',+ 04h 44' 54'',2014,3659,21,341040,17094
ROMAIN FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,94h 44' 10'',+ 04h 45' 04'',2014,3659,21,341050,17104
ZAKKARI DEMPSTER,TEAM NETAPP-ENDURA,94h 44' 10'',+ 04h 45' 04'',2014,3659,21,341050,17104
BENOIT JARRIER,BRETAGNE - SECHE ENVIRONNEMENT,94h 45' 34'',+ 04h 46' 28'',2014,3659,21,341134,17188
DANNY PATE,TEAM SKY,94h 46' 58'',+ 04h 47' 52'',2014,3659,21,341218,17272
MARCUS BURGHARDT,BMC RACING TEAM,94h 47' 46'',+ 04h 48' 40'',2014,3659,21,341266,17320
TOM VEELERS,TEAM GIANT-SHIMANO,94h 52' 29'',+ 04h 53' 23'',2014,3659,21,341549,17603
ADRIEN PETIT,"COFIDIS, SOLUTIONS CREDITS",94h 57' 26'',+ 04h 58' 20'',2014,3659,21,341846,17900
VLADIMIR ISAICHEV,TEAM KATUSHA,94h 57' 36'',+ 04h 58' 30'',2014,3659,21,341856,17910
WILLIAM BONNET,FDJ.FR,94h 59' 03'',+ 04h 59' 57'',2014,3659,21,341943,17997
ARNAUD DEMARE,FDJ.FR,94h 59' 35'',+ 05h 00' 29'',2014,3659,21,341975,18029
JEAN MARC MARINO,CANNONDALE,95h 02' 52'',+ 05h 03' 46'',2014,3659,21,342172,18226
MARCEL KITTEL,TEAM GIANT-SHIMANO,95h 05' 33'',+ 05h 06' 27'',2014,3659,21,342333,18387
ELIA VIVIANI,CANNONDALE,95h 09' 46'',+ 05h 10' 40'',2014,3659,21,342586,18640
DAVIDE CIMOLAI,LAMPRE - MERIDA,95h 11' 04'',+ 05h 11' 58'',2014,3659,21,342664,18718
CHENG JI,TEAM GIANT-SHIMANO,96h 01' 30'',+ 06h 02' 24'',2014,3659,21,345690,21744
CHRIS FROOME,TEAM SKY,84h 46' 14'',-,2015,3354,21,305174,0
NAIRO QUINTANA,MOVISTAR TEAM,84h 47' 26'',+ 00h 01' 12'',2015,3354,21,305246,72
ALEJANDRO VALVERDE,MOVISTAR TEAM,84h 51' 39'',+ 00h 05' 25'',2015,3354,21,305499,325
VINCENZO NIBALI,ASTANA PRO TEAM,84h 54' 50'',+ 00h 08' 36'',2015,3354,21,305690,516
ALBERTO CONTADOR,TINKOFF-SAXO,84h 56' 02'',+ 00h 09' 48'',2015,3354,21,305762,588
ROBERT GESINK,TEAM LOTTO NL - JUMBO,84h 57' 01'',+ 00h 10' 47'',2015,3354,21,305821,647
BAUKE MOLLEMA,TREK FACTORY RACING,85h 01' 28'',+ 00h 15' 14'',2015,3354,21,306088,914
MATHIAS FRANK,IAM CYCLING,85h 01' 53'',+ 00h 15' 39'',2015,3354,21,306113,939
ROMAIN BARDET,AG2R LA MONDIALE,85h 02' 14'',+ 00h 16' 00'',2015,3354,21,306134,960
PIERRE ROLLAND,TEAM EUROPCAR,85h 03' 44'',+ 00h 17' 30'',2015,3354,21,306224,1050
ANDREW TALANSKY,TEAM CANNONDALE-GARMIN,85h 08' 20'',+ 00h 22' 06'',2015,3354,21,306500,1326
SAMUEL SANCHEZ,BMC RACING TEAM,85h 09' 04'',+ 00h 22' 50'',2015,3354,21,306544,1370
SERGE PAUWELS,MTN-QHUBEKA,85h 17' 17'',+ 00h 31' 03'',2015,3354,21,307037,1863
WARREN BARGUIL,TEAM GIANT-ALPECIN,85h 17' 29'',+ 00h 31' 15'',2015,3354,21,307049,1875
GERAINT THOMAS,TEAM SKY,85h 17' 53'',+ 00h 31' 39'',2015,3354,21,307073,1899
THIBAUT PINOT,FDJ,85h 25' 06'',+ 00h 38' 52'',2015,3354,21,307506,2332
ROMAN KREUZIGER,TINKOFF-SAXO,85h 49' 05'',+ 01h 02' 51'',2015,3354,21,308945,3771
MIKAEL CHEREL,AG2R LA MONDIALE,85h 51' 14'',+ 01h 05' 00'',2015,3354,21,309074,3900
JARLINSON PANTANO GOMEZ,IAM CYCLING,85h 55' 22'',+ 01h 09' 08'',2015,3354,21,309322,4148
JAN BAKELANTS,AG2R LA MONDIALE,86h 02' 50'',+ 01h 16' 36'',2015,3354,21,309770,4596
STEVEN KRUIJSWIJK,TEAM LOTTO NL - JUMBO,86h 07' 41'',+ 01h 21' 27'',2015,3354,21,310061,4887
TANEL KANGERT,ASTANA PRO TEAM,86h 11' 12'',+ 01h 24' 58'',2015,3354,21,310272,5098
JAKOB FUGLSANG,ASTANA PRO TEAM,86h 11' 37'',+ 01h 25' 23'',2015,3354,21,310297,5123
JONATHAN CASTROVIEJO NICOLAS,MOVISTAR TEAM,86h 12' 19'',+ 01h 26' 05'',2015,3354,21,310339,5165
JAN BARTA,BORA-ARGON 18,86h 13' 10'',+ 01h 26' 56'',2015,3354,21,310390,5216
ALEXIS VUILLERMOZ,AG2R LA MONDIALE,86h 14' 43'',+ 01h 28' 29'',2015,3354,21,310483,5309
BOB JUNGELS,TREK FACTORY RACING,86h 19' 35'',+ 01h 33' 21'',2015,3354,21,310775,5601
