index Year TotalTDFDistance Stages Start End "Winner of stage" Leader "Yellow Jersey" "Polka-dot jersey" "Green jersey" "White jersey"
287 1927 5398 7 Brest Vannes "Gustaaf Van Slembrouck  (J.B.Louvet)" NA "Hector Martin" NA NA NA
288 1927 5398 8 Vannes "Les Sables" "Raymond Decorte  (J.B.Louvet)" NA "Hector Martin" NA NA NA
289 1927 5398 9 "Les Sables" Bordeaux "Adelin Benoit  (Alcyon-Dunlop)" NA "Hector Martin" NA NA NA
290 1927 5398 10 Bordeaux Bayonne "Pé Verhaegen  (J.B.Louvet)" NA "Hector Martin" NA NA NA
291 1927 5398 11 Bayonne Luchon "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
292 1927 5398 12 Luchon Perpignan "Gustaaf Van Slembrouck  (J.B.Louvet)" NA "Nicolas Frantz" NA NA NA
293 1927 5398 13 Perpignan Marseille "Maurice De Waele  (Labor-Dunlop)" NA "Nicolas Frantz" NA NA NA
294 1927 5398 14 Marseille Toulon "Marius Gallorini  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
295 1927 5398 15 Toulon Nice "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
296 1927 5398 16 Nice Briançon "Julien Vervaecke  (Armor-Dunlop)" NA "Nicolas Frantz" NA NA NA
297 1927 5398 17 Briançon Evian-les-Bains "Pé Verhaegen  (J.B.Louvet)" NA "Nicolas Frantz" NA NA NA
298 1927 5398 18 Evian-les-Bains Pontarlier "Adelin Benoit  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
299 1927 5398 19 Pontarlier Belfort "Maurice Geldhof  (J.B.Louvet)" NA "Nicolas Frantz" NA NA NA
300 1927 5398 20 Belfort Strasbourg "Raymond Decorte  (J.B.Louvet)" NA "Nicolas Frantz" NA NA NA
301 1927 5398 21 Strasbourg Metz "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
302 1927 5398 22 Metz Charleville-Mézières "Hector Martin  (J.B.Louvet)" NA "Nicolas Frantz" NA NA NA
303 1927 5398 23 Charleville-Mézières Dunkerque "André Leducq  (Thomann-Dunlop)" NA "Nicolas Frantz" NA NA NA
304 1927 5398 24 Dunkerque Paris "André Leducq  (Thomann-Dunlop)" NA "Nicolas Frantz" NA NA NA
305 1928 5476 1 Paris Caen "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
306 1928 5476 2 Caen Cherbourg-en-Cotentin "André Leducq  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
307 1928 5476 3 Cherbourg-en-Cotentin Dinan "Gaston Rebry  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
308 1928 5476 4 Dinan Brest "Pé Verhaegen  (J.B. Louvet-Hutchinson)" NA "Nicolas Frantz" NA NA NA
309 1928 5476 5 Brest Vannes "Marcel Bidot  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
310 1928 5476 6 Vannes "Les Sables" "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
311 1928 5476 7 "Les Sables" Bordeaux "Victor Fontan  (Elwish-Wolber)" NA "Nicolas Frantz" NA NA NA
312 1928 5476 8 Bordeaux Hendaye "Maurice De Waele  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
313 1928 5476 9 Hendaye Luchon "Victor Fontan  (Elwish-Wolber)" NA "Nicolas Frantz" NA NA NA
314 1928 5476 10 Luchon Perpignan "André Leducq  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
315 1928 5476 11 Perpignan Marseille "André Leducq  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
316 1928 5476 12 Marseille Nice "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
317 1928 5476 13 Nice Grenoble "Antonin Magne  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
318 1928 5476 14 Grenoble Evian-les-Bains "Julien Moineau  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
319 1928 5476 15 Evian-les-Bains Pontarlier "Pierre Magne  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
320 1928 5476 16 Pontarlier Belfort "André Leducq  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
321 1928 5476 17 Belfort Strasbourg "Joseph Mauclair  (Armor-Dunlop)" NA "Nicolas Frantz" NA NA NA
322 1928 5476 18 Strasbourg Metz "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
323 1928 5476 19 Metz Charleville-Mézières "Marcel Huot  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
324 1928 5476 20 Charleville-Mézières Malo "Maurice De Waele  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
325 1928 5476 21 Malo Dieppe "Antonin Magne  (Alleluia-Wolber)" NA "Nicolas Frantz" NA NA NA
326 1928 5476 22 Dieppe Paris "Nicolas Frantz  (Alcyon-Dunlop)" NA "Nicolas Frantz" NA NA NA
